angle,position,intercept factor
146,0.036,0.144
147,0.036,0.1504424778761062
148,0.036,0.15555555555555556
149,0.036,0.11304347826086956
150,0.036,0.15328467153284672
151,0.036,0.15789473684210525
152,0.036,0.1794871794871795
153,0.036,0.18181818181818182
154,0.036,0.1826086956521739
155,0.036,0.16071428571428573
156,0.036,0.2
157,0.036,0.15151515151515152
158,0.036,0.15447154471544716
159,0.036,0.20869565217391303
160,0.036,0.2032520325203252
161,0.036,0.168
162,0.036,0.226890756302521
163,0.036,0.13559322033898305
164,0.036,0.14516129032258066
165,0.036,0.1864406779661017
166,0.036,0.19642857142857142
167,0.036,0.14728682170542637
168,0.036,0.27956989247311825
169,0.036,0.19298245614035087
170,0.036,0.192
171,0.036,0.22033898305084745
172,0.036,0.21367521367521367
173,0.036,0.29896907216494845
174,0.036,0.1623931623931624
175,0.036,0.2072072072072072
176,0.036,0.17037037037037037
177,0.036,0.23076923076923078
178,0.036,0.1926605504587156
179,0.036,0.2833333333333333
180,0.036,0.2459016393442623
181,0.036,0.24770642201834864
182,0.036,0.21367521367521367
183,0.036,0.211864406779661
184,0.036,0.248
185,0.036,0.20689655172413793
186,0.036,0.24369747899159663
187,0.036,0.29310344827586204
188,0.036,0.19008264462809918
189,0.036,0.17037037037037037
190,0.036,0.1746031746031746
191,0.036,0.19327731092436976
